#{"t_start": 1761844257.714066, "env_id": "None"}
r,l,t
-2183.431473,1642,1460.704552
-831.943726,1249,1465.181971
-1272.10839,340,1466.146091
-2623.422571,2049,1468.702997
-3243.1624,1686,1473.812662
-3371.79885,1413,1475.529056
-233.488849,414,1476.362088
458.169978,1284,1478.178848
-2389.644298,1423,1482.925841
-3457.658544,1263,1484.480244
-3204.160646,1270,1486.312827
-47.689802,414,1487.129284
-1883.991409,1573,1492.002388
8.490507,414,1492.866996
783.236372,340,1493.671745
-1399.063989,1340,1495.541548
-2574.301514,1310,1500.176823
-1474.897904,1751,1502.188899
-7243.601299,1405,1504.100706
1477.26859,1371,1508.775304
-535.496078,416,1509.608763
-906.347817,1603,1511.737704
-3188.882816,1139,1513.210466
-5896.212766,1342,1517.89648
-1857.94854,1283,1519.392774
-1150.059462,1136,1521.088455
-1243.714678,2670,1526.916093
-1917.401418,618,1527.93968
-1960.282087,1421,1532.324211
-3373.088308,1275,1534.264911
-262.580849,414,1535.121183
840.665383,340,1535.954525
-3093.154133,1322,1537.89582
40.937478,414,1538.738121
425.497473,340,1542.238331
-5434.059344,2556,1544.757959
-1156.280108,1848,1549.940588
-1386.326089,1671,1552.196835
-870.219191,414,1553.064055
-5990.780473,905,1554.563998
-3195.554172,494,1555.520607
488.55955,340,1559.144067
-2761.261427,1022,1560.785431
132.220102,412,1561.636708
-4543.420934,1065,1563.316429
-1553.819931,2152,1568.267649
-1485.630391,340,1569.081219
-5363.054646,1151,1570.832684
117.034849,414,1571.686897
-7081.555199,638,1572.919063
-1287.814712,1669,1577.494766
-3505.233397,1880,1579.521914
882.644458,414,1580.382063
-3072.122529,1592,1585.201329
-1674.21797,961,1586.76535
294.325372,340,1587.555325
812.993119,340,1588.375744
-3873.600963,2140,1593.205302
-2689.947141,1187,1594.961858
-3444.145097,2391,1597.865786
774.040786,1640,1602.793772
-3367.679533,1475,1604.421335
-230.195657,414,1605.262192
-1399.037119,436,1606.12108
1262.293079,887,1610.36578
-2220.331844,1136,1612.126013
-3761.622266,1137,1613.883931
673.343615,340,1614.685983
120.245924,340,1615.464325
-1653.738699,2013,1620.448902
499.978937,340,1621.266215
-3560.813847,1167,1623.167495
